"fdc_id","data_type","description","food_category_id","publication_date"
"2257866","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257867","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257868","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257869","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257870","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257871","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257872","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257873","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257874","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257875","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257876","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257877","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257878","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257879","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257880","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257881","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257882","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257883","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257884","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257885","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257886","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257887","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257888","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257889","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257890","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257891","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257892","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257893","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257894","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257895","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257896","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257897","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257898","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257899","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257900","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257901","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257902","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257903","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257904","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257905","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257906","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257907","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257908","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257909","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257910","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257911","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257912","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257913","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257914","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257915","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257916","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257917","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257918","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257919","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257920","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257921","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257922","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257923","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257924","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257925","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257926","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257927","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257928","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257929","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257930","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257931","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257932","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257933","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257934","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257935","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257936","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257937","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257938","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257939","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257940","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257941","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257942","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257943","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257944","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257945","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257946","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257947","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257948","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257949","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257950","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257951","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257952","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257953","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257954","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257955","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257956","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257957","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257958","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257959","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257960","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257961","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257962","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257963","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257964","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257965","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257966","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257967","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257968","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257969","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257970","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257971","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2257972","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257973","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257974","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257975","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257976","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257977","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2257978","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257979","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257980","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257981","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257982","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257983","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257984","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257985","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257986","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257987","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257988","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257989","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257990","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257991","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257992","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257993","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257994","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257995","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257996","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257997","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257998","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2257999","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258000","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258001","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258002","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258003","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258004","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258005","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258006","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258007","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258008","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258009","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258010","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258011","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258012","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258013","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258014","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258015","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258016","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258017","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258018","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258019","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258020","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258021","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258022","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258023","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258024","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258025","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258026","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258027","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258028","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258029","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258030","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258031","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258032","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258033","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258034","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258035","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258036","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258037","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258038","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258039","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258040","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258041","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258042","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258043","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258044","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258045","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258046","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258047","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258048","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258049","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258050","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258051","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258052","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258053","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258054","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258055","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258056","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258057","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258058","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258059","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258060","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258061","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258062","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258063","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258064","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258065","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258066","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258067","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258068","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258069","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258070","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258071","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258072","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258073","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258074","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258075","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258076","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258077","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258078","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258079","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258080","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258081","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258082","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258083","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258084","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258085","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258086","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258087","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258088","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258089","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258090","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258091","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258092","sub_sample_food","almond milk, refrigerated, unsweetened","14","2022-04-28"
"2258093","sub_sample_food","oat milk, refrigerated, unsweetened","14","2022-04-28"
"2258094","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258095","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258096","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258097","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258098","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258099","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258100","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258101","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
"2258102","sub_sample_food","soy milk, refrigerated, sweetened","16","2022-04-28"
